yorum,Positivity
Telefonu alrkn sarjı uzun gidiyor diye almstm ama şarjı birgün bile gitmiyor,0
1 tane hopörlörü çalışmıyor,0
Çalıştığım iş yerindeki 4 kişiye aldık. Kurulumlarını vs. ben tamamladım beli bir sürede kullanma imkanım oldu. 4 tane telefonun hepsinin ekranlarında beyaz renk tonu farklı çıktı. Yani birinde tam beyaz birinde koyu sarımtırak birinde orta sarılık gibi panellerinde sorunmu var tam çözemedim. Tek bir telefon alsam belki karşılaştırma yapıp anlayamayacaktım ama 4 telefonu da yan yana oyunca beyaz ekranlar ciddi şekilde gözle ayırt ediliyor. Onun dışında performans olarak çok iyi kamerası harika gece pek iyi gibi gelmedi ama rakiplerinden geride kalır yanı yok. Gece modu çok iyi sonuçlar veriyor.,0
Gelen seste sorun çıktı görüşmede  ses azalip ses kalitesi azalıyor,0
Yaklaşık 1 aydır kullanıyorum. Yoğun kullanımda %100 iken 1 gün rahat götürüyor ama kullandıkça süresi düşüyor şarjda oynamıyorum vs ama yinede git gide pil kullanım süresi düşüyor. İlk gün 100 ken 24 saat kullanım gösterirken bugün 17-18 gösteriyor. Performans gayet iyi pubg HD Yüksek Fps de oynatıyor rahat rahat. Ama ürün 4 gün sonunda geldi ve üst köşesinde bir çatlak/çizik vardı. Aşırı ilgisiz satıcı yüzünden 1 yıldız başka yerden almanızı öneririm.,0
Telefonu aldım haparlör den ses gelmiyor hicbir sekilde doğum günü hediyesi olarak almıştım tamamen hayal kırıklığı tekrardan servise vericem böyle bir rezillik olamaz çok amatörce,0
Yorum yapan arkadaşları gerçek den anlayamıyorum. Daha önce telefon kullanmış olamazlar 5 yıllık lg g3ün ekranı bundan daha kaliteli ve canlı görüntü sunuyordu tamam bu fullhd+ ama bu kadarda çamur gibi görüntü olmaz ki.,0
yazılım olarak abuk subuk ufak hatalar dolu ve güncelleme yok maalesef tipik çin firması. içinde gelen sözde sistem uygulamalarının neredeyse tamamında reklam var. klasörler gezgininde koca koca reklamlar var mesela şaka gibi. karanlık çekim kötü. şarj aparatı çok sert. -bunlar ve sayamadığım ufak tefek şeyler eksileri artılarına gelirsek telefon hızlı kasma yok. kamera iş görüyor. kapasite ve ram yeterli. ısınma problemi görmedim. şarz çok iyi gidiyor oyun oynamıyorum ama sürekli kullanıyorum. sonuç olarak güncelleme destek ve yazılım olayı benim için önemli olduğundan ve sistem uygulamalarında reklam görmek iğrenç geldiğinden bu markanın yanından bile geçmem bir daha.,0
1 aydır kullanıyorum ön kamerası berbat arka kamerada çok parlak cekiyo onuda  beğenmedim. iyi tarafına gelirsek görünüş olarak güzel şarjı  tüm gün sosyal medyadayim günü bitiriyor ben tavsiye etmiyorum,0
Bundan önce Lenovo k6 power kullandım ve şarjı iki gün gidiyordu. Bataryası şişme yaptı vs bunu alayım dedim. Şarjı bir gün yetiyor. Instagram Facebook Twitter gibi sosyal medya kullanmıyorum. Oyun oynamam. Bundle WhatsApp Google vs kullanıyorum. Şarji bence çok yetersiz. WhatsApp dan foto çekince bulanık çıkıyor. Kamerası beklentimin altında. İnternet bağlantısı gidip duruyor. Bu cihazların uyum sıkıntısı ile alakalı evafon sahibi bişeyler diyordu. Banka uygulamasına giriş yapacağım sms geliyor ama yukardan aşağı çekilmiyor.. Özetle basit bir kullanıcıyım ama memnun kalmadım,0
Bu fiyat bandında alınabilecek bir telefon. Ama bu yorumlardaki övüldüğü kadar iyi bir cihaz değil tekrar söylüyorum iyi değil. Ekranı inanılmaz soluk 5 yıllık G3 ümün ekranı daha canlı keskin görüntülere sahipti. Bazı arkadaşlar g3 2k ekran diyecek ama  olay 2k fhd+ olayı değil. Ekranı kalitesiz soluk görüntüler sunuyor  diyebilirim çok rahat. Yanlış anlaşılmasın bu iyi yorumları yapanlar sanırım daha önce telefon kullanmamış.,0
4 Gün oldu sipariş vereli güya gelecek telefon beklemedeyim. Hepsiburada ve ptt kargoya teşekkürler...,0
Çok performans meraklısı değilim. mi 5s plus kullanıyordum. redmi not 7 aldım yorumlara bakarak. Ama ekran renkleri çok soluk. Alakası yok WhatsApp rengi yeşil değil neredeyse turkuaz. iade edeceğim. Kimseye de al demiyorum. özellik olarak iyi olsa da ekran renklerini çok yadırgadım. Fiyasko bence 100 lira daha verirdim ekran rengi soluk olmasaydı. hangi akılla böyle bir hata yaparlar bu teknolojiye büsbütün haksızlık.,0
Ürünü gelecek bizde adlı satıcıdan aldım.aynı ürün arkadaşımda var onla kıyasladım ve bazen telefon kasıyor bu da dokunmatiğin düzgün çalışmasını engelliyor(kalabalık ortamlarda yapıyor).ürünü iade etmek istedim servis raporu istediler ve ürün kullanılmış diyerekten iade kabul olmadı.ürünü kullanmadan sorunlarını çözmem gerekiyordu benim hatam bu galiba.donmalar devam ederse garantiye göndereceğim.daha önce sony z5 kullanıyordum.onla kıyasladığımda; şarjı wirelles ve telefonun çekim gücü çok iyi.sadece dokunmatik hassasiyeti hoşuma gitmedi.birde ekranın kalitesi z5 gibi değil.çok fazla renk var gerçeklik az.normal kullanıcılar farkı anlamayabilir.,0
Note adı altında telefon yapıyosun halen NFC yok,0
Kesinlikle tavsiye ETMİYORUM ! Dokunmatik çok kötü  hızı çok kötü  takılmalar kasmalar var. Bu fiyata biraz daha ekleyip samsung veya ıphone alın. Samsunga isminden dolayı fazla para vermem  diyenlerdendim ama Samsung Samsungdur. Samsung da kullandım  ıphone da kullandım ama bu telefon gerçekten sadece kağıt üstünde iyi. Çok büyük hayal kırıklığı yaşadım.,0
kargo çok geç geliyor ama telfon genel olarak çok iyi duruyor telefonu aldıktan sonrada fiyatının düşmesi bizi üzdü açıkcası,0
AMAN TANRIM BU ÜRÜN Bİ HARİKA THANK YOU (BY MI),0
TELEFON ÇOK DANDIK.ACABA İNSANLAR BUNU NİYE ANLAMIYOR.Mİ NEDEN UCUZ DİYE İŞTE BU YÜZDEN ÇOK DANDİK MALZEMELER KULLANIYORLAR.HİÇ OYUN OYNAMAM AMA SARJINI GUNDE 2 KERE ŞARJ EDIYORUM.TELEFON ARADA BİR KENDİ KAPANIYO GARANTIYE VERDİM KULLANICI HATASI DEDI ALMAYIN DIĞER MARKALARA BAKIN DERIM.DİĞER MARKALARDANDA SAKIN ÇINLİ OLANLARI ALMAYIN SAMSUNG YADA IPHONE ALIN GERISI HIKAYE,0
Telefon fena değil. Dokunmatik çok iyi değil önce onu soyliym. Çok sık telefon değiştiren biri değilim fakat bende yorumlardan araştırıp aldım. Şu anki kullanıma bakılırsa normal bir kullanıcı olarak gayet stabil çalışıyor. Dokunmatik hassasliginda takıntılı olanlar ürünü önce bir mağazada inceleyip öyle almayı düşünsün.  Ama bu verdiğim puan bitti bitiyor satıcısınadir. Bari kargo parasını sen verseydin ayıp.,0
Telefonu alrkn sarjı uzun gidiyor diye almstm ama şarjı birgün bile gitmiyor,0
1 tane hopörlörü çalışmıyor,0
Çalıştığım iş yerindeki 4 kişiye aldık. Kurulumlarını vs. ben tamamladım beli bir sürede kullanma imkanım oldu. 4 tane telefonun hepsinin ekranlarında beyaz renk tonu farklı çıktı. Yani birinde tam beyaz birinde koyu sarımtırak birinde orta sarılık gibi panellerinde sorunmu var tam çözemedim. Tek bir telefon alsam belki karşılaştırma yapıp anlayamayacaktım ama 4 telefonu da yan yana oyunca beyaz ekranlar ciddi şekilde gözle ayırt ediliyor. Onun dışında performans olarak çok iyi kamerası harika gece pek iyi gibi gelmedi ama rakiplerinden geride kalır yanı yok. Gece modu çok iyi sonuçlar veriyor.,0
Gelen seste sorun çıktı görüşmede  ses azalip ses kalitesi azalıyor,0
Yaklaşık 1 aydır kullanıyorum. Yoğun kullanımda %100 iken 1 gün rahat götürüyor ama kullandıkça süresi düşüyor şarjda oynamıyorum vs ama yinede git gide pil kullanım süresi düşüyor. İlk gün 100 ken 24 saat kullanım gösterirken bugün 17-18 gösteriyor. Performans gayet iyi pubg HD Yüksek Fps de oynatıyor rahat rahat. Ama ürün 4 gün sonunda geldi ve üst köşesinde bir çatlak/çizik vardı. Aşırı ilgisiz satıcı yüzünden 1 yıldız başka yerden almanızı öneririm.,0
Telefonu aldım haparlör den ses gelmiyor hicbir sekilde doğum günü hediyesi olarak almıştım tamamen hayal kırıklığı tekrardan servise vericem böyle bir rezillik olamaz çok amatörce,0
Yorum yapan arkadaşları gerçek den anlayamıyorum. Daha önce telefon kullanmış olamazlar 5 yıllık lg g3ün ekranı bundan daha kaliteli ve canlı görüntü sunuyordu tamam bu fullhd+ ama bu kadarda çamur gibi görüntü olmaz ki.,0
yazılım olarak abuk subuk ufak hatalar dolu ve güncelleme yok maalesef tipik çin firması. içinde gelen sözde sistem uygulamalarının neredeyse tamamında reklam var. klasörler gezgininde koca koca reklamlar var mesela şaka gibi. karanlık çekim kötü. şarj aparatı çok sert. -bunlar ve sayamadığım ufak tefek şeyler eksileri artılarına gelirsek telefon hızlı kasma yok. kamera iş görüyor. kapasite ve ram yeterli. ısınma problemi görmedim. şarz çok iyi gidiyor oyun oynamıyorum ama sürekli kullanıyorum. sonuç olarak güncelleme destek ve yazılım olayı benim için önemli olduğundan ve sistem uygulamalarında reklam görmek iğrenç geldiğinden bu markanın yanından bile geçmem bir daha.,0
1 aydır kullanıyorum ön kamerası berbat arka kamerada çok parlak cekiyo onuda  beğenmedim. iyi tarafına gelirsek görünüş olarak güzel şarjı  tüm gün sosyal medyadayim günü bitiriyor ben tavsiye etmiyorum,0
Bundan önce Lenovo k6 power kullandım ve şarjı iki gün gidiyordu. Bataryası şişme yaptı vs bunu alayım dedim. Şarjı bir gün yetiyor. Instagram Facebook Twitter gibi sosyal medya kullanmıyorum. Oyun oynamam. Bundle WhatsApp Google vs kullanıyorum. Şarji bence çok yetersiz. WhatsApp dan foto çekince bulanık çıkıyor. Kamerası beklentimin altında. İnternet bağlantısı gidip duruyor. Bu cihazların uyum sıkıntısı ile alakalı evafon sahibi bişeyler diyordu. Banka uygulamasına giriş yapacağım sms geliyor ama yukardan aşağı çekilmiyor.. Özetle basit bir kullanıcıyım ama memnun kalmadım,0
Bu fiyat bandında alınabilecek bir telefon. Ama bu yorumlardaki övüldüğü kadar iyi bir cihaz değil tekrar söylüyorum iyi değil. Ekranı inanılmaz soluk 5 yıllık G3 ümün ekranı daha canlı keskin görüntülere sahipti. Bazı arkadaşlar g3 2k ekran diyecek ama  olay 2k fhd+ olayı değil. Ekranı kalitesiz soluk görüntüler sunuyor  diyebilirim çok rahat. Yanlış anlaşılmasın bu iyi yorumları yapanlar sanırım daha önce telefon kullanmamış.,0
4 Gün oldu sipariş vereli güya gelecek telefon beklemedeyim. Hepsiburada ve ptt kargoya teşekkürler...,0
Çok performans meraklısı değilim. mi 5s plus kullanıyordum. redmi not 7 aldım yorumlara bakarak. Ama ekran renkleri çok soluk. Alakası yok WhatsApp rengi yeşil değil neredeyse turkuaz. iade edeceğim. Kimseye de al demiyorum. özellik olarak iyi olsa da ekran renklerini çok yadırgadım. Fiyasko bence 100 lira daha verirdim ekran rengi soluk olmasaydı. hangi akılla böyle bir hata yaparlar bu teknolojiye büsbütün haksızlık.,0
Ürünü gelecek bizde adlı satıcıdan aldım.aynı ürün arkadaşımda var onla kıyasladım ve bazen telefon kasıyor bu da dokunmatiğin düzgün çalışmasını engelliyor(kalabalık ortamlarda yapıyor).ürünü iade etmek istedim servis raporu istediler ve ürün kullanılmış diyerekten iade kabul olmadı.ürünü kullanmadan sorunlarını çözmem gerekiyordu benim hatam bu galiba.donmalar devam ederse garantiye göndereceğim.daha önce sony z5 kullanıyordum.onla kıyasladığımda; şarjı wirelles ve telefonun çekim gücü çok iyi.sadece dokunmatik hassasiyeti hoşuma gitmedi.birde ekranın kalitesi z5 gibi değil.çok fazla renk var gerçeklik az.normal kullanıcılar farkı anlamayabilir.,0
Note adı altında telefon yapıyosun halen NFC yok,0
Kesinlikle tavsiye ETMİYORUM ! Dokunmatik çok kötü  hızı çok kötü  takılmalar kasmalar var. Bu fiyata biraz daha ekleyip samsung veya ıphone alın. Samsunga isminden dolayı fazla para vermem  diyenlerdendim ama Samsung Samsungdur. Samsung da kullandım  ıphone da kullandım ama bu telefon gerçekten sadece kağıt üstünde iyi. Çok büyük hayal kırıklığı yaşadım.,0
kargo çok geç geliyor ama telfon genel olarak çok iyi duruyor telefonu aldıktan sonrada fiyatının düşmesi bizi üzdü açıkcası,0
AMAN TANRIM BU ÜRÜN Bİ HARİKA THANK YOU (BY MI),0
TELEFON ÇOK DANDIK.ACABA İNSANLAR BUNU NİYE ANLAMIYOR.Mİ NEDEN UCUZ DİYE İŞTE BU YÜZDEN ÇOK DANDİK MALZEMELER KULLANIYORLAR.HİÇ OYUN OYNAMAM AMA SARJINI GUNDE 2 KERE ŞARJ EDIYORUM.TELEFON ARADA BİR KENDİ KAPANIYO GARANTIYE VERDİM KULLANICI HATASI DEDI ALMAYIN DIĞER MARKALARA BAKIN DERIM.DİĞER MARKALARDANDA SAKIN ÇINLİ OLANLARI ALMAYIN SAMSUNG YADA IPHONE ALIN GERISI HIKAYE,0
Telefon fena değil. Dokunmatik çok iyi değil önce onu soyliym. Çok sık telefon değiştiren biri değilim fakat bende yorumlardan araştırıp aldım. Şu anki kullanıma bakılırsa normal bir kullanıcı olarak gayet stabil çalışıyor. Dokunmatik hassasliginda takıntılı olanlar ürünü önce bir mağazada inceleyip öyle almayı düşünsün.  Ama bu verdiğim puan bitti bitiyor satıcısınadir. Bari kargo parasını sen verseydin ayıp.,0
Telefonu alrkn sarjı uzun gidiyor diye almstm ama şarjı birgün bile gitmiyor,0
1 tane hopörlörü çalışmıyor,0
Çalıştığım iş yerindeki 4 kişiye aldık. Kurulumlarını vs. ben tamamladım beli bir sürede kullanma imkanım oldu. 4 tane telefonun hepsinin ekranlarında beyaz renk tonu farklı çıktı. Yani birinde tam beyaz birinde koyu sarımtırak birinde orta sarılık gibi panellerinde sorunmu var tam çözemedim. Tek bir telefon alsam belki karşılaştırma yapıp anlayamayacaktım ama 4 telefonu da yan yana oyunca beyaz ekranlar ciddi şekilde gözle ayırt ediliyor. Onun dışında performans olarak çok iyi kamerası harika gece pek iyi gibi gelmedi ama rakiplerinden geride kalır yanı yok. Gece modu çok iyi sonuçlar veriyor.,0
Gelen seste sorun çıktı görüşmede  ses azalip ses kalitesi azalıyor,0
Yaklaşık 1 aydır kullanıyorum. Yoğun kullanımda %100 iken 1 gün rahat götürüyor ama kullandıkça süresi düşüyor şarjda oynamıyorum vs ama yinede git gide pil kullanım süresi düşüyor. İlk gün 100 ken 24 saat kullanım gösterirken bugün 17-18 gösteriyor. Performans gayet iyi pubg HD Yüksek Fps de oynatıyor rahat rahat. Ama ürün 4 gün sonunda geldi ve üst köşesinde bir çatlak/çizik vardı. Aşırı ilgisiz satıcı yüzünden 1 yıldız başka yerden almanızı öneririm.,0
Telefonu aldım haparlör den ses gelmiyor hicbir sekilde doğum günü hediyesi olarak almıştım tamamen hayal kırıklığı tekrardan servise vericem böyle bir rezillik olamaz çok amatörce,0
oyun oynayacaklara kesinlikle tavsiye etmem kamera performansına gelirsek yarı fiyatına aynı resmi çeken telefonlar var,0
klavye çok dar çok ısınıyor gece kamerası berbat Yapay Zeka canın istediği zaman çalışıyor çok donuyor ben telefonda oyun oynuyorum  Çentik ekran yarısını kesiyor Telefonda hızlı şarj yazıyor ama hızlı şarj etmiyor 0'dan 100'e 4 saatte sarj etti Arkadaşlar bence Bana kalırsa başka telefon bakın bu telefon para verilmez ben aldım pişman oldum,0
Beş para etmez bir cihaz. Nesi iyi diyeceksiniz be. İyi olan bişey göremedim. Devamlı sd kart hatası veriyor kendi kendine düzeliyor. Ekran kararıyor düzelmiyor. Bilgisayara bağlanmıyorki verilerinizi alabilesiniz. Yani dahası var azı yok. Paranıza yazık. Gidin ek kötü telefon markasını alın bundan iyidir.,0
Huawei'ye marka geçmişi ve çevreden duyduğum servis çözümleri sebebiyle güvenerek aldım. Fakat Mate 20 Lite anormal şişirilmiş.. Telefonum donuyor. Uygulamalardan atıyor uygulamalar saniyelik olarak ana ekrana dönüp geri geliyor. İnstagramda gezerken ekranı kilitliyorum parmak izine dokunup açıyorum son yapılan çağrılar açık. Uygulamadan çıkarken 1-2 saniye kadar gri ekran veriyor. Android tuşları tutukluk yapıyor basıyor fakat işlemi yapmıyor. Sensör güneş ışığı altında ekranı da kapatıyordu servise verdim geri geldiğinde yalnızca ön panel değiştirilerek ekran kapatma sorunu çözülmüş diğerleri aynen devam.. ***Yani sıfır telefon aldım hem tamir gördü hem sorunun çoğu çözülmedi***  Şarj yönetimi verimli ekranı kaliteli. Kameraya iyi demek için gözü bozuk olmalı insanın. Bundan 10 sene önce bile 3.2mp kameralı telefonla titreşimsiz fotoğraflar çekerken bu telefonla çamur tadında anılar biriktiriyorum. Gece çekimi orta üst kalitede (bu konuda redmi note 7 daha iyi onu da kullanıyorum). Ses iletişimi kalitesi çekim gücü bluetooth kulaklıklarla çalışma kalitesi yüksek "telefon" özelliklerini (donmazsa) güzel yerine getiriyor. Müzik kalitesi kulaklıkla da hoparlorle de vasat. İçinden çıkan kulaklık yoklukta idare eder.  Telefon kısa vadede ben yeniyim kaliteliyim diyor. Ama işletim sistemi 6 7 sene önceki kararsız tutuk androidlerle aynı...  Sık telefon değiştirmem bundan önceki telefonum 5s... Ve müziği hala onunla dinliyorum çünkü arada dağlar kadar fark var (farklı marka kaliteli kulaklıklarla) . Ben İstanbul Bursa ve İzmir'den toplam 3 adet aldım (aile için) yakınlık sensörü arızası üçünde de var. Hayalet ekran ölü piksel benzeri sorunlar hiçbirinde yok. Ağır donmalar tutukluklar uygulamadan atma komutu uygulamama ve gri ekran sorunları yalnızca tek telefonda çıktı. Ve bunun üzerine %20 daha az ödeyip daha sorunsuz bir telefon kullanmak insanın zoruna gidiyor... Buna da tekrar servis yolu göründü...,0
Cihazda donmalar meydana geldi Memnun kalmadım onun için iade yaptım,0
Huwai mate 20 lite   Bittibitiyordan sakın almayın satıcı arkasında durmuyor cihazlar sıkıntılı çıkıyor,0
Kesinlikle tavsiye etmiyorum . Siparişi aynı gün kargo seçeneğine güvenerek verdim . Hediye olarak almıştım .Ancak ne kargoya verildi ne de aradığım da satıcıya ulaşabiliyorum . Tamamen hayal kırıklığı,0
Ürün bahsedilen gibi değil. Gelir gelmez bataryası şişti ve telefon yavaşlıyor. Seside oldukça az telefonun ve boyutlarıda cebe sığma konusunda sorun çıkartıyor. Kameranın arkası telefonu açar açmaz ısınıyor.,0
Daha önce ısınma problemi var diye yorum yapmıştım. Bugün hayalet ekran sebebi ile servise gönderdim.Isınmada bundan oluyor diye tahmin etmekteyim. Servi sorunu yazılım ile çözeceği bilgisini verdi. Sonucu paylaşacağım.,0
özellikle portre modu ve video çekimleri hayal kırıklığı yarattı... Video resmen bulanık!!!,0
Ürünü bugün aldım.Isınma Problemi var. Pil ısısı telefonu açınca 38 derece oluyor hemen. Isınma daha çok ekranın en alt kısmında yuvarlak simgesinin orada ve sarj yaparken değil. ne yapacağımı bilmiyorum. İlk günden servise vereceğim. Bu durum beni üzdü.,0
gm 9 pronun kamerasını görmeyenlerhuwaeinin kamerasını ıphone zanneder..,0
kamerası under vasat hiçbir şekilde net görüntüyü ne ön ne arka kamera veremiyor hele çekim sonrası zoom yapınca 90 ların dijital platformuna geri dönersiniz yapay zeka hikaye yani onun dışında ekranın ince uzunluğu tek el kullanımı için düşündürücü henüz ısınma ve batarya problemi görmedim hayalet ekran sorunu da henüz çıkmadı,0
Maalesef büyük hayallerle aldığımız mate 20 Lite xiaomi mi 5 den daha kötü çıktı. Kamerası net çekmiyor. Telefon hantal ÇALIŞIYOR. Yıllar önce galaxy s5 bile daha güzeldi. Kesinlikle almayın. Tavsiye de etmeyin.,0
Sanki Huawei Türkiye garantili gibi değil de ithalatçı garantili gibi geldi bana. Faturasında falan hiçbir ibare yok bu yönde garanti belgesi de faturasıymış,0
Bunu almak yerine Samsung galaxy a50 alsaydim,0
Şarjı 2 gün gidiyor. Sesi çok az çıkıyor. Ekran parlaklığı düşük. Kamera çok kötü. video çekerken odağı sürekli değiştiriyor tabii bulanık çekiyor. Eski note3 telefonumun kamerası daha iyiydi. Fotoğraflarda yapay zeka renkleri çok abartıyor.,0
Kamerası çok iyi değil.alali 4 ay olmadan ekranin dokunmatığı bozuldu kendi kendine arama yapıyor sayfa açıyor uçak moduna alıyor hiç memnun değilim keşke almasaydım tavsiye etmiyorum. İnş alanlar böyle sorunlar yaşamazlar,0
Daha önce Lenovo P1 kullanıyordum. Bazı arkadaşlar inanmayacak ama samimi söylüyorum Huawei mate 20 lite onun yanında telefon değil.  Yani Lenovo bir de eski model olmasına rağmen bir çok özellik yönünden Huawei ye on basar. Şarj konusunda Lenovo ya yetişemedi. Kullanım kolaylığında yetişemedi. Özellikler yönünden yetişemedi. Türkiye'de satışı kaldırıldığı için Lenovo alamadım. bunu sakın almayın.,0
Telefon güzel şahane fakat kulaklığı kulağı çok acıtıyor.,0
oyun oynayacaklara kesinlikle tavsiye etmem kamera performansına gelirsek yarı fiyatına aynı resmi çeken telefonlar var,0
klavye çok dar çok ısınıyor gece kamerası berbat Yapay Zeka canın istediği zaman çalışıyor çok donuyor ben telefonda oyun oynuyorum  Çentik ekran yarısını kesiyor Telefonda hızlı şarj yazıyor ama hızlı şarj etmiyor 0'dan 100'e 4 saatte sarj etti Arkadaşlar bence Bana kalırsa başka telefon bakın bu telefon para verilmez ben aldım pişman oldum,0
Beş para etmez bir cihaz. Nesi iyi diyeceksiniz be. İyi olan bişey göremedim. Devamlı sd kart hatası veriyor kendi kendine düzeliyor. Ekran kararıyor düzelmiyor. Bilgisayara bağlanmıyorki verilerinizi alabilesiniz. Yani dahası var azı yok. Paranıza yazık. Gidin ek kötü telefon markasını alın bundan iyidir.,0
